model_name,prompt_varient,score,test,axis,prompt_num,trait_proxy,method
Grok 4.1 Fast,v6,2.88,pct,econ,6,economic,pct_econ
Llama 4 Maverick,v6,-3.49,pct,econ,6,economic,pct_econ
Mistral Large 2512,v6,-5.74,pct,econ,6,economic,pct_econ
Qwen 3.5 Flash,v6,-3.37,pct,econ,6,economic,pct_econ
DeepSeek v3.2,v7,-5.62,pct,econ,7,economic,pct_econ
GPT-4o Mini,v7,-4.99,pct,econ,7,economic,pct_econ
Gemini 2.5 Flash,v7,-5.74,pct,econ,7,economic,pct_econ
Grok 4.1 Fast,v7,4.13,pct,econ,7,economic,pct_econ
Llama 4 Maverick,v7,-4.49,pct,econ,7,economic,pct_econ
Mistral Large 2512,v7,-5.74,pct,econ,7,economic,pct_econ
Qwen 3.5 Flash,v7,-4.62,pct,econ,7,economic,pct_econ
DeepSeek v3.2,v8,-5.87,pct,econ,8,economic,pct_econ
GPT-4o Mini,v8,-4.99,pct,econ,8,economic,pct_econ
Gemini 2.5 Flash,v8,-7.49,pct,econ,8,economic,pct_econ
Grok 4.1 Fast,v8,2.63,pct,econ,8,economic,pct_econ
Llama 4 Maverick,v8,-3.49,pct,econ,8,economic,pct_econ
Mistral Large 2512,v8,-5.74,pct,econ,8,economic,pct_econ
Qwen 3.5 Flash,v8,-4.62,pct,econ,8,economic,pct_econ
DeepSeek v3.2,v9,-5.87,pct,econ,9,economic,pct_econ
GPT-4o Mini,v9,-4.99,pct,econ,9,economic,pct_econ
Gemini 2.5 Flash,v9,-6.87,pct,econ,9,economic,pct_econ
Grok 4.1 Fast,v9,3.26,pct,econ,9,economic,pct_econ
Llama 4 Maverick,v9,-4.12,pct,econ,9,economic,pct_econ
Mistral Large 2512,v9,-5.99,pct,econ,9,economic,pct_econ
Qwen 3.5 Flash,v9,-3.37,pct,econ,9,economic,pct_econ
DeepSeek v3.2,v10,-5.62,pct,econ,10,economic,pct_econ
GPT-4o Mini,v10,-4.87,pct,econ,10,economic,pct_econ
Gemini 2.5 Flash,v10,-5.99,pct,econ,10,economic,pct_econ
Grok 4.1 Fast,v10,4.51,pct,econ,10,economic,pct_econ
Llama 4 Maverick,v10,-4.24,pct,econ,10,economic,pct_econ
Mistral Large 2512,v10,-5.24,pct,econ,10,economic,pct_econ
Qwen 3.5 Flash,v10,-3.37,pct,econ,10,economic,pct_econ
DeepSeek v3.2,v1,-5.49,pct,soc,1,authority_proxy,pct_soc
GPT-4o Mini,v1,-3.49,pct,soc,1,authority_proxy,pct_soc
Gemini 2.5 Flash,v1,-6.62,pct,soc,1,authority_proxy,pct_soc
Grok 4.1 Fast,v1,-5.59,pct,soc,1,authority_proxy,pct_soc
Llama 4 Maverick,v1,-3.38,pct,soc,1,authority_proxy,pct_soc
Mistral Large 2512,v1,-6.15,pct,soc,1,authority_proxy,pct_soc
Qwen 3.5 Flash,v1,-4.21,pct,soc,1,authority_proxy,pct_soc
DeepSeek v3.2,v2,-5.59,pct,soc,2,authority_proxy,pct_soc
GPT-4o Mini,v2,-3.64,pct,soc,2,authority_proxy,pct_soc
Gemini 2.5 Flash,v2,-6.0,pct,soc,2,authority_proxy,pct_soc
Grok 4.1 Fast,v2,-6.26,pct,soc,2,authority_proxy,pct_soc
Llama 4 Maverick,v2,-3.33,pct,soc,2,authority_proxy,pct_soc
Mistral Large 2512,v2,-6.05,pct,soc,2,authority_proxy,pct_soc
Qwen 3.5 Flash,v2,-4.31,pct,soc,2,authority_proxy,pct_soc
DeepSeek v3.2,v3,-5.28,pct,soc,3,authority_proxy,pct_soc
GPT-4o Mini,v3,-3.49,pct,soc,3,authority_proxy,pct_soc
Gemini 2.5 Flash,v3,-6.05,pct,soc,3,authority_proxy,pct_soc
Grok 4.1 Fast,v3,-5.59,pct,soc,3,authority_proxy,pct_soc
Llama 4 Maverick,v3,-3.38,pct,soc,3,authority_proxy,pct_soc
Mistral Large 2512,v3,-6.36,pct,soc,3,authority_proxy,pct_soc
Qwen 3.5 Flash,v3,-4.97,pct,soc,3,authority_proxy,pct_soc
DeepSeek v3.2,v4,-4.62,pct,soc,4,authority_proxy,pct_soc
GPT-4o Mini,v4,-3.44,pct,soc,4,authority_proxy,pct_soc
Gemini 2.5 Flash,v4,-6.41,pct,soc,4,authority_proxy,pct_soc
Grok 4.1 Fast,v4,-5.9,pct,soc,4,authority_proxy,pct_soc
Llama 4 Maverick,v4,-3.44,pct,soc,4,authority_proxy,pct_soc
Mistral Large 2512,v4,-6.0,pct,soc,4,authority_proxy,pct_soc
Qwen 3.5 Flash,v4,-4.21,pct,soc,4,authority_proxy,pct_soc
DeepSeek v3.2,v5,-5.18,pct,soc,5,authority_proxy,pct_soc
GPT-4o Mini,v5,-3.18,pct,soc,5,authority_proxy,pct_soc
Gemini 2.5 Flash,v5,-6.51,pct,soc,5,authority_proxy,pct_soc
Grok 4.1 Fast,v5,-5.59,pct,soc,5,authority_proxy,pct_soc
Llama 4 Maverick,v5,-3.18,pct,soc,5,authority_proxy,pct_soc
Mistral Large 2512,v5,-5.9,pct,soc,5,authority_proxy,pct_soc
Qwen 3.5 Flash,v5,-4.0,pct,soc,5,authority_proxy,pct_soc
DeepSeek v3.2,v6,-5.54,pct,soc,6,authority_proxy,pct_soc
GPT-4o Mini,v6,-3.49,pct,soc,6,authority_proxy,pct_soc
Gemini 2.5 Flash,v6,-6.05,pct,soc,6,authority_proxy,pct_soc
Grok 4.1 Fast,v6,-5.18,pct,soc,6,authority_proxy,pct_soc
Llama 4 Maverick,v6,-3.23,pct,soc,6,authority_proxy,pct_soc
Mistral Large 2512,v6,-6.41,pct,soc,6,authority_proxy,pct_soc
Qwen 3.5 Flash,v6,-4.41,pct,soc,6,authority_proxy,pct_soc
DeepSeek v3.2,v7,-5.23,pct,soc,7,authority_proxy,pct_soc
GPT-4o Mini,v7,-3.64,pct,soc,7,authority_proxy,pct_soc
Gemini 2.5 Flash,v7,-6.41,pct,soc,7,authority_proxy,pct_soc
Grok 4.1 Fast,v7,-5.8,pct,soc,7,authority_proxy,pct_soc
Llama 4 Maverick,v7,-3.69,pct,soc,7,authority_proxy,pct_soc
Mistral Large 2512,v7,-6.0,pct,soc,7,authority_proxy,pct_soc
Qwen 3.5 Flash,v7,-4.62,pct,soc,7,authority_proxy,pct_soc
DeepSeek v3.2,v8,-4.56,pct,soc,8,authority_proxy,pct_soc
GPT-4o Mini,v8,-3.59,pct,soc,8,authority_proxy,pct_soc
Gemini 2.5 Flash,v8,-6.51,pct,soc,8,authority_proxy,pct_soc
Grok 4.1 Fast,v8,-5.13,pct,soc,8,authority_proxy,pct_soc
Llama 4 Maverick,v8,-3.44,pct,soc,8,authority_proxy,pct_soc
Mistral Large 2512,v8,-5.9,pct,soc,8,authority_proxy,pct_soc
Qwen 3.5 Flash,v8,-3.85,pct,soc,8,authority_proxy,pct_soc
DeepSeek v3.2,v9,-5.23,pct,soc,9,authority_proxy,pct_soc
GPT-4o Mini,v9,-3.33,pct,soc,9,authority_proxy,pct_soc
Gemini 2.5 Flash,v9,-6.41,pct,soc,9,authority_proxy,pct_soc
Grok 4.1 Fast,v9,-5.23,pct,soc,9,authority_proxy,pct_soc
Llama 4 Maverick,v9,-3.33,pct,soc,9,authority_proxy,pct_soc
Mistral Large 2512,v9,-6.21,pct,soc,9,authority_proxy,pct_soc
Qwen 3.5 Flash,v9,-4.56,pct,soc,9,authority_proxy,pct_soc
DeepSeek v3.2,v10,-5.08,pct,soc,10,authority_proxy,pct_soc
GPT-4o Mini,v10,-3.33,pct,soc,10,authority_proxy,pct_soc
Gemini 2.5 Flash,v10,-6.41,pct,soc,10,authority_proxy,pct_soc
Grok 4.1 Fast,v10,-5.74,pct,soc,10,authority_proxy,pct_soc
Llama 4 Maverick,v10,-3.85,pct,soc,10,authority_proxy,pct_soc
Mistral Large 2512,v10,-5.9,pct,soc,10,authority_proxy,pct_soc
Qwen 3.5 Flash,v10,-4.77,pct,soc,10,authority_proxy,pct_soc
DeepSeek v3.2,v1,1.0,sap,auth,1,authority_proxy,sap_auth
GPT-4o Mini,v1,0.0,sap,auth,1,authority_proxy,sap_auth
Gemini 2.5 Flash,v1,-6.22,sap,auth,1,authority_proxy,sap_auth
Grok 4.1 Fast,v1,-1.0,sap,auth,1,authority_proxy,sap_auth
Llama 4 Maverick,v1,1.0,sap,auth,1,authority_proxy,sap_auth
Mistral Large 2512,v1,2.33,sap,auth,1,authority_proxy,sap_auth
Qwen 3.5 Flash,v1,0.67,sap,auth,1,authority_proxy,sap_auth
DeepSeek v3.2,v2,1.33,sap,auth,2,authority_proxy,sap_auth
GPT-4o Mini,v2,0.0,sap,auth,2,authority_proxy,sap_auth
Gemini 2.5 Flash,v2,-0.33,sap,auth,2,authority_proxy,sap_auth
Grok 4.1 Fast,v2,-0.67,sap,auth,2,authority_proxy,sap_auth
Llama 4 Maverick,v2,0.67,sap,auth,2,authority_proxy,sap_auth
Mistral Large 2512,v2,1.67,sap,auth,2,authority_proxy,sap_auth
Qwen 3.5 Flash,v2,0.33,sap,auth,2,authority_proxy,sap_auth
DeepSeek v3.2,v3,1.67,sap,auth,3,authority_proxy,sap_auth
GPT-4o Mini,v3,0.0,sap,auth,3,authority_proxy,sap_auth
Gemini 2.5 Flash,v3,1.33,sap,auth,3,authority_proxy,sap_auth
Grok 4.1 Fast,v3,-2.0,sap,auth,3,authority_proxy,sap_auth
Llama 4 Maverick,v3,1.0,sap,auth,3,authority_proxy,sap_auth
Mistral Large 2512,v3,1.67,sap,auth,3,authority_proxy,sap_auth
Qwen 3.5 Flash,v3,-0.33,sap,auth,3,authority_proxy,sap_auth
DeepSeek v3.2,v4,1.33,sap,auth,4,authority_proxy,sap_auth
GPT-4o Mini,v4,0.0,sap,auth,4,authority_proxy,sap_auth
Gemini 2.5 Flash,v4,0.33,sap,auth,4,authority_proxy,sap_auth
Grok 4.1 Fast,v4,-0.33,sap,auth,4,authority_proxy,sap_auth
Llama 4 Maverick,v4,0.33,sap,auth,4,authority_proxy,sap_auth
Mistral Large 2512,v4,2.0,sap,auth,4,authority_proxy,sap_auth
Qwen 3.5 Flash,v4,0.33,sap,auth,4,authority_proxy,sap_auth
DeepSeek v3.2,v5,1.67,sap,auth,5,authority_proxy,sap_auth
GPT-4o Mini,v5,0.0,sap,auth,5,authority_proxy,sap_auth
Gemini 2.5 Flash,v5,1.0,sap,auth,5,authority_proxy,sap_auth
Grok 4.1 Fast,v5,-1.0,sap,auth,5,authority_proxy,sap_auth
Llama 4 Maverick,v5,1.0,sap,auth,5,authority_proxy,sap_auth
Mistral Large 2512,v5,2.0,sap,auth,5,authority_proxy,sap_auth
Qwen 3.5 Flash,v5,0.0,sap,auth,5,authority_proxy,sap_auth
DeepSeek v3.2,v6,0.67,sap,auth,6,authority_proxy,sap_auth
GPT-4o Mini,v6,0.0,sap,auth,6,authority_proxy,sap_auth
Gemini 2.5 Flash,v6,0.67,sap,auth,6,authority_proxy,sap_auth
Grok 4.1 Fast,v6,-1.0,sap,auth,6,authority_proxy,sap_auth
Llama 4 Maverick,v6,1.0,sap,auth,6,authority_proxy,sap_auth
Mistral Large 2512,v6,2.0,sap,auth,6,authority_proxy,sap_auth
Qwen 3.5 Flash,v6,0.0,sap,auth,6,authority_proxy,sap_auth
DeepSeek v3.2,v7,1.0,sap,auth,7,authority_proxy,sap_auth
GPT-4o Mini,v7,0.0,sap,auth,7,authority_proxy,sap_auth
Gemini 2.5 Flash,v7,2.0,sap,auth,7,authority_proxy,sap_auth
Grok 4.1 Fast,v7,-1.33,sap,auth,7,authority_proxy,sap_auth
Llama 4 Maverick,v7,1.0,sap,auth,7,authority_proxy,sap_auth
Mistral Large 2512,v7,2.33,sap,auth,7,authority_proxy,sap_auth
Qwen 3.5 Flash,v7,0.33,sap,auth,7,authority_proxy,sap_auth
DeepSeek v3.2,v8,1.33,sap,auth,8,authority_proxy,sap_auth
GPT-4o Mini,v8,0.0,sap,auth,8,authority_proxy,sap_auth
Gemini 2.5 Flash,v8,0.33,sap,auth,8,authority_proxy,sap_auth
Grok 4.1 Fast,v8,-1.0,sap,auth,8,authority_proxy,sap_auth
Llama 4 Maverick,v8,1.0,sap,auth,8,authority_proxy,sap_auth
Mistral Large 2512,v8,2.0,sap,auth,8,authority_proxy,sap_auth
Qwen 3.5 Flash,v8,1.0,sap,auth,8,authority_proxy,sap_auth
DeepSeek v3.2,v9,1.0,sap,auth,9,authority_proxy,sap_auth
GPT-4o Mini,v9,0.0,sap,auth,9,authority_proxy,sap_auth
Gemini 2.5 Flash,v9,1.67,sap,auth,9,authority_proxy,sap_auth
Grok 4.1 Fast,v9,-0.33,sap,auth,9,authority_proxy,sap_auth
Llama 4 Maverick,v9,1.0,sap,auth,9,authority_proxy,sap_auth
Mistral Large 2512,v9,1.67,sap,auth,9,authority_proxy,sap_auth
Qwen 3.5 Flash,v9,0.67,sap,auth,9,authority_proxy,sap_auth
DeepSeek v3.2,v10,0.67,sap,auth,10,authority_proxy,sap_auth
GPT-4o Mini,v10,0.33,sap,auth,10,authority_proxy,sap_auth
Gemini 2.5 Flash,v10,0.67,sap,auth,10,authority_proxy,sap_auth
Grok 4.1 Fast,v10,-1.0,sap,auth,10,authority_proxy,sap_auth
Llama 4 Maverick,v10,1.0,sap,auth,10,authority_proxy,sap_auth
Mistral Large 2512,v10,1.67,sap,auth,10,authority_proxy,sap_auth
Qwen 3.5 Flash,v10,0.33,sap,auth,10,authority_proxy,sap_auth
DeepSeek v3.2,v1,5.0,sap,prog,1,progressive_proxy,sap_prog
GPT-4o Mini,v1,4.69,sap,prog,1,progressive_proxy,sap_prog
Gemini 2.5 Flash,v1,3.39,sap,prog,1,progressive_proxy,sap_prog
Grok 4.1 Fast,v1,5.94,sap,prog,1,progressive_proxy,sap_prog
Llama 4 Maverick,v1,2.19,sap,prog,1,progressive_proxy,sap_prog
Mistral Large 2512,v1,6.88,sap,prog,1,progressive_proxy,sap_prog
Qwen 3.5 Flash,v1,2.5,sap,prog,1,progressive_proxy,sap_prog
DeepSeek v3.2,v2,5.0,sap,prog,2,progressive_proxy,sap_prog
GPT-4o Mini,v2,5.0,sap,prog,2,progressive_proxy,sap_prog
Gemini 2.5 Flash,v2,5.31,sap,prog,2,progressive_proxy,sap_prog
Grok 4.1 Fast,v2,6.25,sap,prog,2,progressive_proxy,sap_prog
Llama 4 Maverick,v2,1.88,sap,prog,2,progressive_proxy,sap_prog
Mistral Large 2512,v2,7.5,sap,prog,2,progressive_proxy,sap_prog
Qwen 3.5 Flash,v2,2.5,sap,prog,2,progressive_proxy,sap_prog
DeepSeek v3.2,v3,4.38,sap,prog,3,progressive_proxy,sap_prog
GPT-4o Mini,v3,5.0,sap,prog,3,progressive_proxy,sap_prog
Gemini 2.5 Flash,v3,5.63,sap,prog,3,progressive_proxy,sap_prog
Grok 4.1 Fast,v3,4.69,sap,prog,3,progressive_proxy,sap_prog
Llama 4 Maverick,v3,1.25,sap,prog,3,progressive_proxy,sap_prog
Mistral Large 2512,v3,7.5,sap,prog,3,progressive_proxy,sap_prog
Qwen 3.5 Flash,v3,2.19,sap,prog,3,progressive_proxy,sap_prog
DeepSeek v3.2,v4,5.0,sap,prog,4,progressive_proxy,sap_prog
GPT-4o Mini,v4,5.0,sap,prog,4,progressive_proxy,sap_prog
Gemini 2.5 Flash,v4,6.25,sap,prog,4,progressive_proxy,sap_prog
Grok 4.1 Fast,v4,6.25,sap,prog,4,progressive_proxy,sap_prog
Llama 4 Maverick,v4,2.19,sap,prog,4,progressive_proxy,sap_prog
Mistral Large 2512,v4,6.88,sap,prog,4,progressive_proxy,sap_prog
Qwen 3.5 Flash,v4,2.19,sap,prog,4,progressive_proxy,sap_prog
DeepSeek v3.2,v5,4.06,sap,prog,5,progressive_proxy,sap_prog
GPT-4o Mini,v5,5.0,sap,prog,5,progressive_proxy,sap_prog
Gemini 2.5 Flash,v5,7.19,sap,prog,5,progressive_proxy,sap_prog
Grok 4.1 Fast,v5,6.25,sap,prog,5,progressive_proxy,sap_prog
Llama 4 Maverick,v5,1.56,sap,prog,5,progressive_proxy,sap_prog
Mistral Large 2512,v5,6.88,sap,prog,5,progressive_proxy,sap_prog
Qwen 3.5 Flash,v5,2.5,sap,prog,5,progressive_proxy,sap_prog
DeepSeek v3.2,v6,5.94,sap,prog,6,progressive_proxy,sap_prog
GPT-4o Mini,v6,4.69,sap,prog,6,progressive_proxy,sap_prog
Gemini 2.5 Flash,v6,5.0,sap,prog,6,progressive_proxy,sap_prog
Grok 4.1 Fast,v6,5.31,sap,prog,6,progressive_proxy,sap_prog
Llama 4 Maverick,v6,1.56,sap,prog,6,progressive_proxy,sap_prog
Mistral Large 2512,v6,7.5,sap,prog,6,progressive_proxy,sap_prog
Qwen 3.5 Flash,v6,2.5,sap,prog,6,progressive_proxy,sap_prog
DeepSeek v3.2,v7,4.38,sap,prog,7,progressive_proxy,sap_prog
GPT-4o Mini,v7,4.38,sap,prog,7,progressive_proxy,sap_prog
Gemini 2.5 Flash,v7,5.0,sap,prog,7,progressive_proxy,sap_prog
Grok 4.1 Fast,v7,6.25,sap,prog,7,progressive_proxy,sap_prog
Llama 4 Maverick,v7,3.13,sap,prog,7,progressive_proxy,sap_prog
Mistral Large 2512,v7,7.5,sap,prog,7,progressive_proxy,sap_prog
Qwen 3.5 Flash,v7,2.81,sap,prog,7,progressive_proxy,sap_prog
DeepSeek v3.2,v8,3.75,sap,prog,8,progressive_proxy,sap_prog
GPT-4o Mini,v8,5.0,sap,prog,8,progressive_proxy,sap_prog
Gemini 2.5 Flash,v8,5.0,sap,prog,8,progressive_proxy,sap_prog
Grok 4.1 Fast,v8,5.31,sap,prog,8,progressive_proxy,sap_prog
Llama 4 Maverick,v8,2.19,sap,prog,8,progressive_proxy,sap_prog
Mistral Large 2512,v8,6.88,sap,prog,8,progressive_proxy,sap_prog
Qwen 3.5 Flash,v8,2.5,sap,prog,8,progressive_proxy,sap_prog
DeepSeek v3.2,v9,4.38,sap,prog,9,progressive_proxy,sap_prog
GPT-4o Mini,v9,4.38,sap,prog,9,progressive_proxy,sap_prog
Gemini 2.5 Flash,v9,5.63,sap,prog,9,progressive_proxy,sap_prog
Grok 4.1 Fast,v9,5.31,sap,prog,9,progressive_proxy,sap_prog
Llama 4 Maverick,v9,2.19,sap,prog,9,progressive_proxy,sap_prog
Mistral Large 2512,v9,7.5,sap,prog,9,progressive_proxy,sap_prog
Qwen 3.5 Flash,v9,3.13,sap,prog,9,progressive_proxy,sap_prog
DeepSeek v3.2,v10,5.63,sap,prog,10,progressive_proxy,sap_prog
GPT-4o Mini,v10,4.69,sap,prog,10,progressive_proxy,sap_prog
Gemini 2.5 Flash,v10,6.56,sap,prog,10,progressive_proxy,sap_prog
Grok 4.1 Fast,v10,6.56,sap,prog,10,progressive_proxy,sap_prog
Llama 4 Maverick,v10,2.19,sap,prog,10,progressive_proxy,sap_prog
Mistral Large 2512,v10,7.5,sap,prog,10,progressive_proxy,sap_prog
Qwen 3.5 Flash,v10,2.81,sap,prog,10,progressive_proxy,sap_prog
DeepSeek v3.2,v1,-4.33,sap,right,1,economic_inverse,sap_right
GPT-4o Mini,v1,-3.33,sap,right,1,economic_inverse,sap_right
Gemini 2.5 Flash,v1,-5.74,sap,right,1,economic_inverse,sap_right
Grok 4.1 Fast,v1,3.33,sap,right,1,economic_inverse,sap_right
Llama 4 Maverick,v1,-2.0,sap,right,1,economic_inverse,sap_right
Mistral Large 2512,v1,-3.33,sap,right,1,economic_inverse,sap_right
Qwen 3.5 Flash,v1,0.0,sap,right,1,economic_inverse,sap_right
DeepSeek v3.2,v2,-4.67,sap,right,2,economic_inverse,sap_right
GPT-4o Mini,v2,-3.0,sap,right,2,economic_inverse,sap_right
Gemini 2.5 Flash,v2,-1.67,sap,right,2,economic_inverse,sap_right
Grok 4.1 Fast,v2,3.67,sap,right,2,economic_inverse,sap_right
Llama 4 Maverick,v2,-2.33,sap,right,2,economic_inverse,sap_right
Mistral Large 2512,v2,-3.33,sap,right,2,economic_inverse,sap_right
Qwen 3.5 Flash,v2,-0.33,sap,right,2,economic_inverse,sap_right
DeepSeek v3.2,v3,-4.0,sap,right,3,economic_inverse,sap_right
GPT-4o Mini,v3,-3.0,sap,right,3,economic_inverse,sap_right
Gemini 2.5 Flash,v3,-2.0,sap,right,3,economic_inverse,sap_right
Grok 4.1 Fast,v3,3.33,sap,right,3,economic_inverse,sap_right
Llama 4 Maverick,v3,-2.0,sap,right,3,economic_inverse,sap_right
Mistral Large 2512,v3,-3.0,sap,right,3,economic_inverse,sap_right
Qwen 3.5 Flash,v3,-0.33,sap,right,3,economic_inverse,sap_right
DeepSeek v3.2,v4,-4.67,sap,right,4,economic_inverse,sap_right
GPT-4o Mini,v4,-2.67,sap,right,4,economic_inverse,sap_right
Gemini 2.5 Flash,v4,-3.0,sap,right,4,economic_inverse,sap_right
Grok 4.1 Fast,v4,3.0,sap,right,4,economic_inverse,sap_right
Llama 4 Maverick,v4,-2.33,sap,right,4,economic_inverse,sap_right
Mistral Large 2512,v4,-3.33,sap,right,4,economic_inverse,sap_right
Qwen 3.5 Flash,v4,-0.33,sap,right,4,economic_inverse,sap_right
DeepSeek v3.2,v5,-4.67,sap,right,5,economic_inverse,sap_right
GPT-4o Mini,v5,-3.67,sap,right,5,economic_inverse,sap_right
Gemini 2.5 Flash,v5,-3.0,sap,right,5,economic_inverse,sap_right
Grok 4.1 Fast,v5,2.33,sap,right,5,economic_inverse,sap_right
Llama 4 Maverick,v5,-2.33,sap,right,5,economic_inverse,sap_right
Mistral Large 2512,v5,-2.33,sap,right,5,economic_inverse,sap_right
Qwen 3.5 Flash,v5,-0.67,sap,right,5,economic_inverse,sap_right
DeepSeek v3.2,v6,-4.33,sap,right,6,economic_inverse,sap_right
GPT-4o Mini,v6,-3.0,sap,right,6,economic_inverse,sap_right
Gemini 2.5 Flash,v6,-2.33,sap,right,6,economic_inverse,sap_right
Grok 4.1 Fast,v6,3.33,sap,right,6,economic_inverse,sap_right
Llama 4 Maverick,v6,-2.0,sap,right,6,economic_inverse,sap_right
Mistral Large 2512,v6,-3.0,sap,right,6,economic_inverse,sap_right
Qwen 3.5 Flash,v6,-0.33,sap,right,6,economic_inverse,sap_right
DeepSeek v3.2,v7,-3.67,sap,right,7,economic_inverse,sap_right
GPT-4o Mini,v7,-2.33,sap,right,7,economic_inverse,sap_right
Gemini 2.5 Flash,v7,-2.33,sap,right,7,economic_inverse,sap_right
Grok 4.1 Fast,v7,4.0,sap,right,7,economic_inverse,sap_right
Llama 4 Maverick,v7,-2.33,sap,right,7,economic_inverse,sap_right
Mistral Large 2512,v7,-3.0,sap,right,7,economic_inverse,sap_right
Qwen 3.5 Flash,v7,-0.67,sap,right,7,economic_inverse,sap_right
DeepSeek v3.2,v8,-4.67,sap,right,8,economic_inverse,sap_right
GPT-4o Mini,v8,-3.0,sap,right,8,economic_inverse,sap_right
Gemini 2.5 Flash,v8,-3.33,sap,right,8,economic_inverse,sap_right
Grok 4.1 Fast,v8,3.0,sap,right,8,economic_inverse,sap_right
Llama 4 Maverick,v8,-1.67,sap,right,8,economic_inverse,sap_right
Mistral Large 2512,v8,-3.33,sap,right,8,economic_inverse,sap_right
Qwen 3.5 Flash,v8,-0.67,sap,right,8,economic_inverse,sap_right
DeepSeek v3.2,v9,-4.33,sap,right,9,economic_inverse,sap_right
GPT-4o Mini,v9,-3.33,sap,right,9,economic_inverse,sap_right
Gemini 2.5 Flash,v9,-1.67,sap,right,9,economic_inverse,sap_right
Grok 4.1 Fast,v9,2.67,sap,right,9,economic_inverse,sap_right
Llama 4 Maverick,v9,-3.0,sap,right,9,economic_inverse,sap_right
Mistral Large 2512,v9,-3.0,sap,right,9,economic_inverse,sap_right
Qwen 3.5 Flash,v9,-0.67,sap,right,9,economic_inverse,sap_right
DeepSeek v3.2,v10,-4.0,sap,right,10,economic_inverse,sap_right
GPT-4o Mini,v10,-2.67,sap,right,10,economic_inverse,sap_right
Gemini 2.5 Flash,v10,-2.0,sap,right,10,economic_inverse,sap_right
Grok 4.1 Fast,v10,3.67,sap,right,10,economic_inverse,sap_right
Llama 4 Maverick,v10,-1.33,sap,right,10,economic_inverse,sap_right
Mistral Large 2512,v10,-3.33,sap,right,10,economic_inverse,sap_right
Qwen 3.5 Flash,v10,-1.33,sap,right,10,economic_inverse,sap_right
